,Year-Month,Decision Result,Percentage
0,202101,MANUAL,73.13062364256903
1,202101,STP,14.92398386596339
2,202101,NONSTP,11.945392491467576
3,202102,MANUAL,75.04770992366412
4,202102,STP,13.38263358778626
5,202102,NONSTP,11.569656488549619
6,202103,MANUAL,73.37046204620462
7,202103,STP,15.140264026402638
8,202103,NONSTP,11.48927392739274
9,202104,MANUAL,74.15227127319258
10,202104,NONSTP,13.115802943058222
11,202104,STP,12.731925783749201
12,202105,MANUAL,72.39499839692209
13,202105,STP,14.33151651170247
14,202105,NONSTP,13.273485091375441
15,202106,MANUAL,73.13432835820896
16,202106,STP,14.382632293080055
17,202106,NONSTP,12.449118046132972
18,202106,,0.033921302578018994
19,202107,MANUAL,71.2133891213389
20,202107,NONSTP,14.560669456066947
21,202107,STP,14.225941422594143
22,202108,MANUAL,71.30203720106289
23,202108,NONSTP,14.880425155004428
24,202108,STP,13.817537643932685
25,202109,MANUAL,71.94301543332014
26,202109,NONSTP,14.918876137712703
27,202109,STP,13.138108428967154
28,202110,MANUAL,74.37112650382792
29,202110,NONSTP,14.655486693401384
30,202110,STP,10.973386802770689
31,202111,MANUAL,70.82902625594377
32,202111,NONSTP,20.198470126111225
33,202111,STP,8.972503617945007
34,202112,MANUAL,73.98884239888423
35,202112,NONSTP,20.2231520223152
36,202112,STP,5.788005578800558
37,202201,MANUAL,68.15273477812177
38,202201,NONSTP,21.176470588235293
39,202201,STP,10.670794633642931
40,202202,MANUAL,69.79040709391374
41,202202,NONSTP,20.032245062474807
42,202202,STP,10.177347843611447
43,202203,MANUAL,76.02251407129455
44,202203,NONSTP,13.602251407129456
45,202203,STP,10.375234521575985
46,202204,MANUAL,79.82370225269344
47,202204,STP,10.21873979758407
48,202204,NONSTP,9.957557949722494
49,202205,MANUAL,81.11720356408499
50,202205,NONSTP,9.458533241946538
51,202205,STP,9.424263193968471
52,202206,MANUAL,82.0247243568326
53,202206,NONSTP,11.059137988640162
54,202206,STP,6.91613765452723
55,202207,MANUAL,83.51195383347073
56,202207,NONSTP,9.192085737840065
57,202207,STP,7.295960428689201
58,202208,MANUAL,81.58386253268584
59,202208,NONSTP,10.235338064998132
60,202208,STP,8.180799402316026
61,202209,MANUAL,81.38704742478328
62,202209,NONSTP,10.708822029576746
63,202209,STP,7.90413054563998
