,Year-Month,SPM Result,Percentage
0,202101,,100.0
1,202102,,100.0
2,202103,,100.0
3,202104,,100.0
4,202105,,100.0
5,202106,,100.0
6,202107,,100.0
7,202108,,100.0
8,202109,,100.0
9,202110,,100.0
10,202111,,69.75397973950795
11,202111,None,26.359313624147195
12,202111,Labs,3.8867066363448415
13,202112,,70.80427708042771
14,202112,None,24.965132496513252
15,202112,Labs,4.230590423059042
16,202201,,99.91744066047472
17,202201,None,0.0825593395252838
18,202202,None,62.575574365175335
19,202202,,27.166465135026197
20,202202,Labs,10.257960499798468
21,202203,None,85.15947467166978
22,202203,Labs,13.621013133208255
23,202203,,1.2195121951219512
24,202204,None,84.78615736206334
25,202204,Labs,14.07117205354228
26,202204,,1.1426705843943845
27,202205,None,86.08636052090472
28,202205,Labs,13.33104866346813
29,202205,,0.5825908156271419
30,202206,None,83.5282325425994
31,202206,Labs,13.364517206815904
32,202206,,3.1072502505846975
33,202207,None,68.878812860676
34,202207,Labs,15.704863973619126
35,202207,,15.416323165704865
36,202208,None,73.88868135973105
37,202208,Labs,22.67463578632798
38,202208,,3.436682853940979
39,202209,None,75.4207037225905
40,202209,Labs,22.59051504334523
41,202209,,1.988781234064253
